"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Virgin Islands (U.S.)","VIR","Urban population (% of total)","SP.URB.TOTL.IN.ZS","56.477","57.864","59.241","60.604","61.952","63.279","64.587","65.874","67.14","68.378","69.592","70.779","71.941","73.07","74.172","75.245","76.288","77.298","78.278","79.228","80.147","81.034","81.891","82.717","83.514","84.28","85.017","85.726","86.407","87.059","87.685","88.285","88.86","89.409","89.934","90.437","90.917","91.374","91.811","92.228","92.586","92.814","93.036","93.251","93.461","93.664","93.861","94.053","94.239","94.419","94.594","94.76","94.916","95.064","",
"Vietnam","VNM","Urban population (% of total)","SP.URB.TOTL.IN.ZS","14.7","15.031","15.369","15.714","16.064","16.421","16.784","17.153","17.529","17.911","18.3","18.396","18.492","18.588","18.685","18.782","18.88","18.978","19.076","19.175","19.247","19.309","19.372","19.435","19.498","19.561","19.625","19.688","19.752","19.89","20.255","20.625","21","21.397","21.8","22.187","22.579","22.974","23.376","23.817","24.374","24.937","25.511","26.092","26.683","27.281","27.888","28.504","29.128","29.758","30.392","31.029","31.668","32.309","",
"Vanuatu","VUT","Urban population (% of total)","SP.URB.TOTL.IN.ZS","10.404","10.583","10.765","10.95","11.138","11.329","11.522","11.718","11.918","12.12","12.325","12.533","12.744","12.958","13.175","13.395","13.619","13.845","14.074","14.368","14.74","15.12","15.508","15.905","16.31","16.722","17.143","17.573","18.011","18.435","18.715","18.998","19.285","19.574","19.868","20.164","20.464","20.766","21.073","21.382","21.673","21.953","22.235","22.521","22.809","23.099","23.392","23.687","23.985","24.286","24.589","24.894","25.2","25.508","",
"West Bank and Gaza","PSE","Urban population (% of total)","SP.URB.TOTL.IN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.709","68.219","68.726","69.227","69.724","70.216","70.705","71.187","71.524","71.747","71.969","72.189","72.409","72.627","72.845","73.061","73.276","73.491","73.704","73.919","74.136","74.356","74.577","74.8","",
"World","WLD","Urban population (% of total)","SP.URB.TOTL.IN.ZS","33.5413741756437","34.0580540657523","34.5039373646365","34.8955261102852","35.2919330634256","35.5158280335933","35.7141417765161","35.9227183972011","36.1199722896784","36.3244904696893","36.5137762174494","36.6989736144062","36.9096110600395","37.1413257934505","37.4159256054552","37.645164719622","37.8904170855194","38.1428765334623","38.47219003526","38.8690603302919","39.2718886164365","39.6910480679276","40.0702134860813","40.4156361051671","40.7709613338155","41.1281774554422","41.4891383749555","41.8404676774758","42.2106465264734","42.5617590322631","42.9221641498057","43.2842341686882","43.6250997033222","43.9846053833609","44.3387701444186","44.7074239850108","45.0642473871992","45.4244857731916","45.7916430450806","46.1649745523455","46.5506658852814","47.0033204728812","47.5051174030094","48.0091226414509","48.5179766273552","49.0300059775483","49.5341500927933","50.0359289564399","50.5436128648997","51.0446015840665","51.5429271333944","52.0397735802016","52.5230308341587","52.9984079786479","",
"Samoa","WSM","Urban population (% of total)","SP.URB.TOTL.IN.ZS","18.926","18.986","19.061","19.141","19.221","19.301","19.382","19.593","19.844","20.097","20.353","20.611","20.752","20.832","20.912","20.992","21.073","21.113","21.133","21.153","21.173","21.193","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.258","21.347","21.436","21.526","21.616","21.705","21.796","21.886","21.977","22.068","21.941","21.698","21.457","21.218","20.981","20.75","20.524","20.3","20.078","19.857","19.639","19.44","",
"Yemen, Rep.","YEM","Urban population (% of total)","SP.URB.TOTL.IN.ZS","9.1","9.459","9.831","10.216","10.614","11.026","11.451","11.891","12.347","12.815","13.3","13.598","13.901","14.209","14.524","14.844","15.171","15.502","15.84","16.183","16.534","16.889","17.251","17.619","17.993","18.373","18.808","19.323","19.849","20.385","20.931","21.489","22.058","22.636","23.225","23.76","24.249","24.743","25.244","25.752","26.267","26.787","27.315","27.849","28.39","28.936","29.487","30.042","30.602","31.165","31.732","32.302","32.874","33.45","",
"South Africa","ZAF","Urban population (% of total)","SP.URB.TOTL.IN.ZS","46.619","46.793","46.906","47.02","47.134","47.248","47.362","47.476","47.59","47.704","47.809","47.869","47.929","47.989","48.049","48.109","48.169","48.229","48.289","48.349","48.425","48.591","48.756","48.922","49.088","49.372","49.905","50.439","50.972","51.505","52.037","52.554","53.038","53.521","54.004","54.486","54.967","55.449","55.93","56.411","56.891","57.368","57.898","58.446","58.993","59.536","60.077","60.616","61.154","61.687","62.218","62.746","63.272","63.788","",
"Congo, Dem. Rep.","COD","Urban population (% of total)","SP.URB.TOTL.IN.ZS","22.3","22.523","22.749","22.976","23.204","23.434","23.666","23.899","24.134","24.37","24.608","24.847","25.089","25.331","25.575","25.821","26.068","26.317","26.567","26.819","27.072","27.327","27.583","27.84","28.1","28.513","28.93","29.35","29.775","30.202","30.633","31.067","31.506","31.946","32.39","32.838","33.289","33.742","34.199","34.659","35.122","35.587","36.055","36.526","37","37.478","37.961","38.448","38.941","39.437","39.937","40.442","40.95","41.461","",
"Zambia","ZMB","Urban population (% of total)","SP.URB.TOTL.IN.ZS","18.145","18.951","19.785","20.712","22.015","23.372","24.789","26.261","27.791","29.37","30.351","31.241","32.146","33.061","33.992","34.934","35.89","36.855","37.832","38.818","39.815","39.854","39.805","39.755","39.705","39.655","39.606","39.556","39.506","39.456","39.407","38.989","38.514","38.042","37.572","37.104","36.638","36.176","35.716","35.258","34.802","34.958","35.369","35.781","36.196","36.612","37.031","37.452","37.875","38.299","38.725","39.153","39.587","40.027","",
"Zimbabwe","ZWE","Urban population (% of total)","SP.URB.TOTL.IN.ZS","12.608","12.821","13.082","13.578","14.092","14.62","15.165","15.727","16.306","16.88","17.362","17.855","18.36","18.874","19.4","19.873","20.356","20.846","21.345","21.853","22.371","22.895","23.429","24.069","24.736","25.414","26.105","26.809","27.524","28.25","28.988","29.738","30.499","30.94","31.335","31.732","32.132","32.534","32.939","33.347","33.758","34.17","34.585","34.479","34.294","34.11","33.926","33.743","33.56","33.378","33.196","33.015","32.834","32.654","",
